user_id,specialist_id,ratings,timestamp
1,55,5,1260759144
1,54,1,1260759144
1,233,4,1260759144
1,280,5,1260759144
1,293,3,1260759144
1,311,1,1260759144
1,312,3,1260759144
1,325,4,1260759144
1,326,3,1260759144
1,339,1,1260759144
1,340,3,1260759144
2,343,2,1298863157
2,363,3,1298863157
2,364,4,1298863157
2,382,3,1298863157
2,383,2,1298863157
2,384,3,1298863157
2,389,4,1298863157
2,399,5,1298863157
2,10,2,1298863157
2,11,4,1298863157
3,12,1,949919322
3,13,3,949919322
3,14,2,949919322
3,15,1,949919322
3,56,4,949919322
4,57,3,1163373711
4,58,5,1163373711
4,59,2,1163373711
4,88,1,1163373711
4,89,4,1163373711
4,90,4,1163373711
4,91,4,1163373711
4,92,3,1163373711
4,135,2,1163373711
5,137,5,1154400170
5,146,3,1154400170
5,147,1,1154400170
5,172,2,1154400170
6,64,4,942766251
6,65,3,942766251
6,66,1,942766251
6,67,5,942766251
6,110,4,942766251
7,111,5,1391657610
7,115,4,1391657610
7,116,2,1391657610
7,117,4,1391657610
7,155,1,1391657610
7,199,5,1391657610
8,200,4,1331379748
8,221,4,1331379748
8,226,3,1331379748
8,229,5,1331379748
8,235,2,1331379748
8,241,2,1331379748
8,246,2,1331379748
8,251,1,1331379748
8,257,2,1331379748
8,1,4,1331379748
8,2,3,1331379748
8,134,4,1331379748
9,152,4,1093028372
9,157,3,1093028372
9,158,3,1093028372
9,159,5,1093028372
9,160,4,1093028372
9,192,5,1093028372
9,223,2,1093028372
9,240,1,1093028372
9,267,1,1093028372
9,268,2,1093028372
10,301,2,1166586136
10,335,5,1166586136
10,23,4,1166586136
10,24,2,1166586136
10,25,2,1166586136
10,26,4,1166586136
10,27,5,1166586136
10,63,4,1166586136
10,107,3,1166586136
10,108,1,1166586136
10,109,1,1166586136
10,138,5,1166586136
11,153,1,997939439
11,176,5,997939439
11,177,1,997939439
11,206,1,997939439
11,208,4,997939439
11,209,5,997939439
11,210,4,997939439
11,211,1,997939439
11,236,4,997939439
11,242,5,997939439
11,34,1,997939439
11,35,3,997939439
11,36,1,997939439
11,395,5,997939439
11,61,5,997939439
11,62,4,997939439
11,79,4,997939439
11,80,2,997939439
11,81,4,997939439
11,82,4,997939439
11,83,5,997939439
12,84,2,1338698424
12,85,4,1338698424
12,86,4,1338698424
12,87,3,1338698424
12,112,4,1338698424
12,113,3,1338698424
12,114,4,1338698424
12,179,3,1338698424
12,133,3,1338698424
12,168,5,1338698424
12,190,2,1338698424
12,191,2,1338698424
12,212,4,1338698424
12,243,3,1338698424
13,247,4,1122576686
13,248,1,1122576686
13,249,3,1122576686
14,253,5,1425875796
14,256,2,1425875796
14,269,4,1425875796
14,274,5,1425875796
14,317,1,1425875796
14,324,3,1425875796
14,341,1,1425875796
14,358,3,1425875796
14,360,4,1425875796
14,361,5,1425875796
14,379,2,1425875796
14,393,1,1425875796
14,3,5,1425875796
14,4,5,1425875796
14,148,4,1425875796
14,162,2,1425875796
14,193,3,1425875796
14,2017,1,1425875796
14,216,1,1425875796
14,218,2,1425875796
14,219,3,1425875796
15,234,2,1033344834
15,237,5,1033344834
15,258,3,1033344834
15,263,4,1033344834
15,277,5,1033344834
15,300,5,1033344834
15,306,4,1033344834
15,332,1,1033344834
15,336,3,1033344834
15,366,4,1033344834
15,367,3,1033344834
15,28,4,1033344834
15,29,1,1033344834
15,30,5,1033344834
15,103,2,1033344834
16,104,2,1345397753
16,105,4,1345397753
16,106,1,1345397753
16,139,2,1345397753
16,144,5,1345397753
16,163,5,1345397753
16,164,1,1345397753
16,2014,2,1345397753
16,205,2,1345397753
16,224,2,1345397753
16,239,1,1345397753
17,250,3,997937413
17,279,2,997937413
17,286,4,997937413
17,333,2,997937413
17,337,2,997937413
17,44,3,997937413
17,140,3,997937413
17,213,2,997937413
18,214,3,997937762
18,215,5,997937762
18,220,4,997937762
18,273,3,997937762
19,295,4,1033939395
19,315,3,1033939395
19,48,5,1033939395
19,49,3,1033939395
19,136,1,1033939395
21,151,4,1367800228
21,184,4,1367800228
21,201,1,1367800228
21,261,1,1367800228
21,323,5,1367800228
21,348,3,1367800228
21,373,4,1367800228
21,387,1,1367800228
22,55,2,1222576379
22,54,2,1222576379
22,233,5,1222576379
22,280,2,1222576379
22,293,5,1222576379
23,311,5,1416119908
23,312,5,1416119908
23,325,1,1416119908
23,326,5,1416119908
23,339,1,1416119908
24,340,4,1240203829
24,343,2,1240203829
24,363,5,1240203829
24,364,4,1240203829
24,382,1,1240203829
24,383,5,1240203829
24,384,3,1240203829
24,389,4,1240203829
25,399,3,1093028001
25,10,1,1093028001
25,11,1,1093028001
25,12,1,1093028001
25,13,3,1093028001
25,14,4,1093028001
25,15,3,1093028001
25,23,1,1093028001
